questionId,title,difficulty,dislikes,likes,nAccepted,nSubmissions,accRate,topicTags,similarQuestions
49,Group Anagrams,Medium,240,5934,970.3K,1.6M,60.7%,"['Hash Table', 'Sorting', 'String']","[('Group Shifted Strings', 'Medium'), ('Valid Anagram', 'Easy')]"
51,N-Queens,Hard,116,3587,281.8K,534.8K,52.7%,"['Array', 'Backtracking']","[('Grid Illumination', 'Hard'), ('N-Queens II', 'Hard')]"
52,N-Queens II,Hard,193,1059,180.7K,287.1K,63.0%,['Backtracking'],"[('N-Queens', 'Hard')]"
53,Maximum Subarray,Easy,617,12970,1.5M,3.1M,48.2%,"['Array', 'Divide and Conquer', 'Dynamic Programming']","[('Best Time to Buy and Sell Stock', 'Easy'), ('Degree of an Array', 'Easy'), ('Longest Turbulent Subarray', 'Medium'), ('Maximum Absolute Sum of Any Subarray', 'Medium'), ('Maximum Product Subarray', 'Medium'), ('Maximum Subarray Sum After One Operation', 'Medium')]"
54,Spiral Matrix,Medium,687,4270,525.5K,1.4M,37.5%,"['Array', 'Matrix', 'Simulation']","[('Spiral Matrix II', 'Medium'), ('Spiral Matrix III', 'Medium')]"
55,Jump Game,Medium,442,6930,671.1K,1.9M,35.7%,"['Array', 'Dynamic Programming', 'Greedy']","[('Jump Game II', 'Medium'), ('Jump Game III', 'Medium'), ('Jump Game VII', 'Medium')]"
56,Merge Intervals,Medium,399,8202,956.2K,2.3M,42.1%,"['Array', 'Sorting']","[('Add Bold Tag in String', 'Medium'), ('Employee Free Time', 'Hard'), ('Insert Interval', 'Medium'), ('Interval List Intersections', 'Medium'), ('Meeting Rooms', 'Easy'), ('Meeting Rooms II', 'Medium'), ('Partition Labels', 'Medium'), ('Range Module', 'Hard'), ('Teemo Attacking', 'Easy')]"
57,Insert Interval,Medium,261,3205,374.5K,1M,35.9%,['Array'],"[('Merge Intervals', 'Medium'), ('Range Module', 'Hard')]"
58,Length of Last Word,Easy,3350,1221,531.1K,1.6M,33.7%,['String'],[]
59,Spiral Matrix II,Medium,134,1808,260.1K,440.3K,59.1%,"['Array', 'Matrix', 'Simulation']","[('Spiral Matrix', 'Medium'), ('Spiral Matrix III', 'Medium')]"
60,Permutation Sequence,Hard,372,2492,232.7K,579.5K,40.2%,"['Math', 'Recursion']","[('Next Permutation', 'Medium'), ('Permutations', 'Medium')]"
61,Rotate List,Medium,1172,2701,398.6K,1.2M,32.4%,"['Linked List', 'Two Pointers']","[('Rotate Array', 'Medium'), ('Split Linked List in Parts', 'Medium')]"
62,Unique Paths,Medium,250,5635,675.7K,1.2M,57.1%,"['Combinatorics', 'Dynamic Programming', 'Math']","[('Dungeon Game', 'Hard'), ('Minimum Path Sum', 'Medium'), ('Unique Paths II', 'Medium')]"
63,Unique Paths II,Medium,305,3170,401.5K,1.1M,36.1%,"['Array', 'Dynamic Programming', 'Matrix']","[('Unique Paths', 'Medium'), ('Unique Paths III', 'Hard')]"
64,Minimum Path Sum,Medium,86,5122,562.1K,983.7K,57.1%,"['Array', 'Dynamic Programming', 'Matrix']","[('Cherry Pickup', 'Hard'), ('Dungeon Game', 'Hard'), ('Unique Paths', 'Medium')]"
65,Valid Number,Hard,362,180,222.2K,1.3M,16.8%,['String'],"[('String to Integer (atoi)', 'Medium')]"
66,Plus One,Easy,3394,2564,882.9K,2.1M,42.1%,"['Array', 'Math']","[('Add Binary', 'Easy'), ('Add to Array-Form of Integer', 'Easy'), ('Multiply Strings', 'Medium'), ('Plus One Linked List', 'Medium')]"
67,Add Binary,Easy,369,3029,631.8K,1.3M,48.0%,"['Bit Manipulation', 'Math', 'Simulation', 'String']","[('Add Two Numbers', 'Medium'), ('Add to Array-Form of Integer', 'Easy'), ('Multiply Strings', 'Medium'), ('Plus One', 'Easy')]"
68,Text Justification,Hard,2154,1168,183.2K,584.1K,31.4%,"['Simulation', 'String']","[('Rearrange Spaces Between Words', 'Easy')]"
70,Climbing Stairs,Easy,223,7187,1M,2.1M,49.1%,"['Dynamic Programming', 'Math', 'Memoization']","[('Fibonacci Number', 'Easy'), ('Min Cost Climbing Stairs', 'Easy'), ('N-th Tribonacci Number', 'Easy')]"
71,Simplify Path,Medium,154,547,289.7K,817.3K,35.4%,"['Stack', 'String']",[]
72,Edit Distance,Hard,72,6059,372.2K,775.2K,48.0%,"['Dynamic Programming', 'String']","[('Delete Operation for Two Strings', 'Medium'), ('Minimum ASCII Delete Sum for Two Strings', 'Medium'), ('One Edit Distance', 'Medium'), ('Uncrossed Lines', 'Medium')]"
73,Set Matrix Zeroes,Medium,388,3841,455.4K,1M,45.2%,"['Array', 'Hash Table', 'Matrix']","[('Game of Life', 'Medium')]"
74,Search a 2D Matrix,Medium,208,3752,476.8K,1.2M,39.1%,"['Array', 'Binary Search', 'Matrix']","[('Search a 2D Matrix II', 'Medium')]"
75,Sort Colors,Medium,325,5949,716.8K,1.4M,50.9%,"['Array', 'Sorting', 'Two Pointers']","[('Sort List', 'Medium'), ('Wiggle Sort', 'Medium'), ('Wiggle Sort II', 'Medium')]"
76,Minimum Window Substring,Hard,467,7160,561.5K,1.5M,36.8%,"['Hash Table', 'Sliding Window', 'String']","[('Minimum Size Subarray Sum', 'Medium'), ('Minimum Window Subsequence', 'Hard'), ('Permutation in String', 'Medium'), ('Sliding Window Maximum', 'Hard'), ('Smallest Range Covering Elements from K Lists', 'Hard'), ('Substring with Concatenation of All Words', 'Hard')]"
77,Combinations,Medium,88,2502,382.8K,647.1K,59.2%,"['Array', 'Backtracking']","[('Combination Sum', 'Medium'), ('Permutations', 'Medium')]"
78,Subsets,Medium,118,6339,805.4K,1.2M,66.8%,"['Array', 'Backtracking', 'Bit Manipulation']","[('Generalized Abbreviation', 'Medium'), ('Letter Case Permutation', 'Medium'), ('Subsets II', 'Medium')]"
79,Word Search,Medium,252,6189,698.1K,1.8M,37.9%,"['Array', 'Backtracking', 'Matrix']","[('Word Search II', 'Hard')]"
80,Remove Duplicates from Sorted Array II,Medium,817,2032,339.1K,721.8K,47.0%,"['Array', 'Two Pointers']","[('Remove Duplicates from Sorted Array', 'Easy')]"
81,Search in Rotated Sorted Array II,Medium,601,2350,316.7K,934.1K,33.9%,"['Array', 'Binary Search']","[('Search in Rotated Sorted Array', 'Medium')]"
82,Remove Duplicates from Sorted List II,Medium,129,3197,344.2K,858K,40.1%,"['Linked List', 'Two Pointers']","[('Remove Duplicates From an Unsorted Linked List', 'Medium'), ('Remove Duplicates from Sorted List', 'Easy')]"
83,Remove Duplicates from Sorted List,Easy,154,2824,624.2K,1.3M,47.1%,['Linked List'],"[('Remove Duplicates From an Unsorted Linked List', 'Medium'), ('Remove Duplicates from Sorted List II', 'Medium')]"
84,Largest Rectangle in Histogram,Hard,111,6451,379.7K,995.5K,38.1%,"['Array', 'Monotonic Stack', 'Stack']","[('Maximal Rectangle', 'Hard'), ('Maximum Score of a Good Subarray', 'Hard')]"
85,Maximal Rectangle,Hard,92,4640,238.4K,591.7K,40.3%,"['Array', 'Dynamic Programming', 'Matrix', 'Monotonic Stack', 'Stack']","[('Largest Rectangle in Histogram', 'Hard'), ('Maximal Square', 'Medium')]"
86,Partition List,Medium,424,2496,288.2K,632.8K,45.5%,"['Linked List', 'Two Pointers']",[]
87,Scramble String,Hard,843,938,128.2K,366.6K,35.0%,"['Dynamic Programming', 'String']",[]
88,Merge Sorted Array,Easy,58,433,928.5K,2.2M,41.3%,"['Array', 'Sorting', 'Two Pointers']","[('Interval List Intersections', 'Medium'), ('Merge Two Sorted Lists', 'Easy'), ('Squares of a Sorted Array', 'Easy')]"
89,Gray Code,Medium,2018,1102,207.8K,389.3K,53.4%,"['Backtracking', 'Bit Manipulation', 'Math']","[('1-bit and 2-bit Characters', 'Easy')]"
90,Subsets II,Medium,114,2846,359K,719.5K,49.9%,"['Array', 'Backtracking', 'Bit Manipulation']","[('Subsets', 'Medium')]"
91,Decode Ways,Medium,3510,4719,591.3K,2.1M,27.6%,"['Dynamic Programming', 'String']","[('Decode Ways II', 'Hard')]"
92,Reverse Linked List II,Medium,219,4264,386.6K,921.8K,41.9%,['Linked List'],"[('Reverse Linked List', 'Easy')]"
93,Restore IP Addresses,Medium,579,1909,243.4K,629.4K,38.7%,"['Backtracking', 'String']","[('IP to CIDR', 'Medium')]"
94,Binary Tree Inorder Traversal,Easy,222,5131,1M,1.6M,67.4%,"['Binary Tree', 'Depth-First Search', 'Stack', 'Tree']","[('Binary Search Tree Iterator', 'Medium'), ('Binary Tree Postorder Traversal', 'Easy'), ('Binary Tree Preorder Traversal', 'Easy'), ('Closest Binary Search Tree Value II', 'Hard'), ('Convert Binary Search Tree to Sorted Doubly Linked List', 'Medium'), ('Inorder Successor in BST', 'Medium'), ('Kth Smallest Element in a BST', 'Medium'), ('Minimum Distance Between BST Nodes', 'Easy'), ('Validate Binary Search Tree', 'Medium')]"
95,Unique Binary Search Trees II,Medium,220,3300,238.1K,539.5K,44.1%,"['Backtracking', 'Binary Search Tree', 'Binary Tree', 'Dynamic Programming', 'Tree']","[('Different Ways to Add Parentheses', 'Medium'), ('Unique Binary Search Trees', 'Medium')]"
96,Unique Binary Search Trees,Medium,183,4963,376.2K,680K,55.3%,"['Binary Search Tree', 'Binary Tree', 'Dynamic Programming', 'Math', 'Tree']","[('Unique Binary Search Trees II', 'Medium')]"
97,Interleaving String,Medium,140,2784,216.6K,643.4K,33.7%,"['Dynamic Programming', 'String']",[]
98,Validate Binary Search Tree,Medium,725,6617,1M,3.5M,29.3%,"['Binary Search Tree', 'Binary Tree', 'Depth-First Search', 'Tree']","[('Binary Tree Inorder Traversal', 'Easy'), ('Find Mode in Binary Search Tree', 'Easy')]"
99,Recover Binary Search Tree,Medium,105,2763,221.7K,508K,43.6%,"['Binary Search Tree', 'Binary Tree', 'Depth-First Search', 'Tree']",[]
100,Same Tree,Easy,92,3561,758.9K,1.4M,54.5%,"['Binary Tree', 'Breadth-First Search', 'Depth-First Search', 'Tree']",[]
101,Symmetric Tree,Easy,174,6650,937.2K,1.9M,49.2%,"['Binary Tree', 'Breadth-First Search', 'Depth-First Search', 'Tree']",[]
102,Binary Tree Level Order Traversal,Medium,113,5214,899.6K,1.5M,58.1%,"['Binary Tree', 'Breadth-First Search', 'Tree']","[('Average of Levels in Binary Tree', 'Easy'), ('Binary Tree Level Order Traversal II', 'Medium'), ('Binary Tree Vertical Order Traversal', 'Medium'), ('Binary Tree Zigzag Level Order Traversal', 'Medium'), ('Cousins in Binary Tree', 'Easy'), ('Minimum Depth of Binary Tree', 'Easy'), ('N-ary Tree Level Order Traversal', 'Medium')]"
103,Binary Tree Zigzag Level Order Traversal,Medium,132,3799,539.2K,1.1M,51.2%,"['Binary Tree', 'Breadth-First Search', 'Tree']","[('Binary Tree Level Order Traversal', 'Medium')]"
104,Maximum Depth of Binary Tree,Easy,102,4314,1.2M,1.7M,69.1%,"['Binary Tree', 'Breadth-First Search', 'Depth-First Search', 'Tree']","[('Balanced Binary Tree', 'Easy'), ('Maximum Depth of N-ary Tree', 'Easy'), ('Minimum Depth of Binary Tree', 'Easy'), ('Time Needed to Inform All Employees', 'Medium')]"
105,Construct Binary Tree from Preorder and Inorder Traversal,Medium,144,5909,540.7K,999.8K,54.1%,"['Array', 'Binary Tree', 'Divide and Conquer', 'Hash Table', 'Tree']","[('Construct Binary Tree from Inorder and Postorder Traversal', 'Medium')]"
106,Construct Binary Tree from Inorder and Postorder Traversal,Medium,57,2937,310.8K,605.9K,51.3%,"['Array', 'Binary Tree', 'Divide and Conquer', 'Hash Table', 'Tree']","[('Construct Binary Tree from Preorder and Inorder Traversal', 'Medium')]"
107,Binary Tree Level Order Traversal II,Medium,256,2323,433.3K,770.1K,56.3%,"['Binary Tree', 'Breadth-First Search', 'Tree']","[('Average of Levels in Binary Tree', 'Easy'), ('Binary Tree Level Order Traversal', 'Medium')]"
108,Convert Sorted Array to Binary Search Tree,Easy,293,4281,560.3K,902K,62.1%,"['Array', 'Binary Search Tree', 'Binary Tree', 'Divide and Conquer', 'Tree']","[('Convert Sorted List to Binary Search Tree', 'Medium')]"
109,Convert Sorted List to Binary Search Tree,Medium,102,3440,319.1K,606.2K,52.6%,"['Binary Search Tree', 'Binary Tree', 'Divide and Conquer', 'Linked List', 'Tree']","[('Convert Sorted Array to Binary Search Tree', 'Easy')]"
110,Balanced Binary Tree,Easy,242,3858,596.5K,1.3M,45.3%,"['Binary Tree', 'Depth-First Search', 'Tree']","[('Maximum Depth of Binary Tree', 'Easy')]"
111,Minimum Depth of Binary Tree,Easy,842,2685,586.5K,1.4M,40.5%,"['Binary Tree', 'Breadth-First Search', 'Depth-First Search', 'Tree']","[('Binary Tree Level Order Traversal', 'Medium'), ('Maximum Depth of Binary Tree', 'Easy')]"
112,Path Sum,Easy,643,3462,650.4K,1.5M,43.2%,"['Binary Tree', 'Depth-First Search', 'Tree']","[('Binary Tree Maximum Path Sum', 'Hard'), ('Path Sum II', 'Medium'), ('Path Sum III', 'Medium'), ('Path Sum IV', 'Medium'), ('Sum Root to Leaf Numbers', 'Medium')]"
113,Path Sum II,Medium,88,3063,434.3K,859.8K,50.5%,"['Backtracking', 'Binary Tree', 'Depth-First Search', 'Tree']","[('Binary Tree Paths', 'Easy'), ('Path Sum', 'Easy'), ('Path Sum III', 'Medium'), ('Path Sum IV', 'Medium')]"
114,Flatten Binary Tree to Linked List,Medium,425,4829,475.5K,878.5K,54.1%,"['Binary Tree', 'Depth-First Search', 'Linked List', 'Stack', 'Tree']","[('Correct a Binary Tree', 'Medium'), ('Flatten a Multilevel Doubly Linked List', 'Medium')]"
115,Distinct Subsequences,Hard,81,2168,171.1K,422.8K,40.5%,"['Dynamic Programming', 'String']",[]
116,Populating Next Right Pointers in Each Node,Medium,174,3769,516.4K,1M,50.9%,"['Binary Tree', 'Breadth-First Search', 'Depth-First Search', 'Tree']","[('Binary Tree Right Side View', 'Medium'), ('Populating Next Right Pointers in Each Node II', 'Medium')]"
117,Populating Next Right Pointers in Each Node II,Medium,203,2627,347.1K,802.9K,43.2%,"['Binary Tree', 'Breadth-First Search', 'Depth-First Search', 'Tree']","[('Populating Next Right Pointers in Each Node', 'Medium')]"
120,Triangle,Medium,331,3331,325.9K,686.5K,47.5%,"['Array', 'Dynamic Programming']",[]
121,Best Time to Buy and Sell Stock,Easy,390,9416,1.4M,2.7M,52.2%,"['Array', 'Dynamic Programming']","[('Best Time to Buy and Sell Stock II', 'Easy'), ('Best Time to Buy and Sell Stock III', 'Hard'), ('Best Time to Buy and Sell Stock IV', 'Hard'), ('Best Time to Buy and Sell Stock with Cooldown', 'Medium'), ('Maximum Subarray', 'Easy')]"
122,Best Time to Buy and Sell Stock II,Easy,2097,4664,875.2K,1.5M,59.5%,"['Array', 'Dynamic Programming', 'Greedy']","[('Best Time to Buy and Sell Stock', 'Easy'), ('Best Time to Buy and Sell Stock III', 'Hard'), ('Best Time to Buy and Sell Stock IV', 'Hard'), ('Best Time to Buy and Sell Stock with Cooldown', 'Medium'), ('Best Time to Buy and Sell Stock with Transaction Fee', 'Medium')]"
123,Best Time to Buy and Sell Stock III,Hard,93,3934,303.3K,743.4K,40.8%,"['Array', 'Dynamic Programming']","[('Best Time to Buy and Sell Stock', 'Easy'), ('Best Time to Buy and Sell Stock II', 'Easy'), ('Best Time to Buy and Sell Stock IV', 'Hard'), ('Maximum Sum of 3 Non-Overlapping Subarrays', 'Hard')]"
124,Binary Tree Maximum Path Sum,Hard,419,6279,537.7K,1.5M,36.1%,"['Binary Tree', 'Depth-First Search', 'Dynamic Programming', 'Tree']","[('Longest Univalue Path', 'Medium'), ('Path Sum', 'Easy'), ('Path Sum IV', 'Medium'), ('Sum Root to Leaf Numbers', 'Medium'), ('Time Needed to Inform All Employees', 'Medium')]"
125,Valid Palindrome,Easy,4036,2194,909.1K,2.3M,39.2%,"['String', 'Two Pointers']","[('Palindrome Linked List', 'Easy'), ('Valid Palindrome II', 'Easy')]"
126,Word Ladder II,Hard,304,2663,235.4K,966.2K,24.4%,"['Backtracking', 'Breadth-First Search', 'Hash Table', 'String']","[('Word Ladder', 'Hard')]"
127,Word Ladder,Hard,1454,5392,603K,1.8M,32.9%,"['Breadth-First Search', 'Hash Table', 'String']","[('Minimum Genetic Mutation', 'Medium'), ('Word Ladder II', 'Hard')]"
128,Longest Consecutive Sequence,Medium,278,6046,460.9K,973K,47.4%,"['Array', 'Hash Table', 'Union Find']","[('Binary Tree Longest Consecutive Sequence', 'Medium')]"
129,Sum Root to Leaf Numbers,Medium,64,2532,344.7K,658.7K,52.3%,"['Binary Tree', 'Depth-First Search', 'Tree']","[('Binary Tree Maximum Path Sum', 'Hard'), ('Path Sum', 'Easy'), ('Smallest String Starting From Leaf', 'Medium')]"
130,Surrounded Regions,Medium,829,3061,313.7K,1M,30.6%,"['Array', 'Breadth-First Search', 'Depth-First Search', 'Matrix', 'Union Find']","[('Number of Islands', 'Medium'), ('Walls and Gates', 'Medium')]"
131,Palindrome Partitioning,Medium,122,3854,330.7K,612.1K,54.0%,"['Backtracking', 'Dynamic Programming', 'String']","[('Palindrome Partitioning II', 'Hard'), ('Palindrome Partitioning IV', 'Hard')]"
132,Palindrome Partitioning II,Hard,59,2042,161K,509.5K,31.6%,"['Dynamic Programming', 'String']","[('Palindrome Partitioning', 'Medium'), ('Palindrome Partitioning IV', 'Hard')]"
133,Clone Graph,Medium,1797,3376,496.2K,1.2M,41.3%,"['Breadth-First Search', 'Depth-First Search', 'Graph', 'Hash Table']","[('Clone Binary Tree With Random Pointer', 'Medium'), ('Clone N-ary Tree', 'Medium'), ('Copy List with Random Pointer', 'Medium')]"
134,Gas Station,Medium,453,3372,298.6K,706.4K,42.3%,"['Array', 'Greedy']",[]
135,Candy,Hard,218,1969,179.7K,510.6K,35.2%,"['Array', 'Greedy']",[]
